SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0050031,35,535,42,9,6,10,20,9,2,26,7,50,15,6,6,6,20,12,5,27,6,5,18,2,12,18,75,10,30,10,10
0050032,202,82,37,70,233,351,73,70,156,27,205,100,236,1,73,143,143,11,236,53,82,102,104,124,74,299,103,,20,171,105
0050033,59,70,8,31,30,46,79,29,68,45,72,218,12,27,12,111,98,37,46,58,22,13,5,33,11,89,72,37,22,26,69
0050034,17,25,25,53,44,26,31,39,14,46,48,29,3,30,44,31,55,32,30,45,63,18,19,25,19,62,83,30,26,93,87
0050035,25,,15,-15,,,6,,13,,5,5,1,1,,3,46,19,15,,,2,,2,12,22,15,,2,16,15
0050036,4,4,,,,14,,,8,21,,,,1,10,3,20,4,12,5,5,,,,2,,52,,1,16,8
0050037,,10,,,6,9,1,8,3,6,,6,,14,,8,,7,23,21,4,,,,2,17,6,,2,,9
0050044,"1,103",281,100,571,826,"1,551",777,"1,396",904,943,53,741,"1,245","1,142","1,163","1,875",272,,616,726,"1,233",966,538,"1,284","2,285",50,"1,153","1,136",865,"1,100",561
0050045,298,306,108,288,252,95,131,313,619,15,28,387,377,378,278,71,322,243,339,83,95,48,113,88,198,81,316,92,114,199,95
0050046,"2,401","2,572",867,"4,054","3,102",642,"1,012",866,"3,085","1,823","1,597","1,321","1,993","2,469","3,167","3,249","2,570","1,505","3,378","2,343","2,669","1,665","2,776","2,693","5,595",41,"5,254","3,571","3,719","2,294","4,315"
0050047,381,312,62,585,478,361,198,165,494,244,265,860,385,502,608,589,936,38,458,209,339,406,717,397,939,580,472,613,318,587,461
0050048,226,22,18,261,56,152,385,121,376,87,30,253,200,125,240,283,366,342,121,14,1,,34,308,526,289,488,202,189,268,222
0050049,254,187,86,199,232,327,64,166,93,93,142,117,172,172,180,240,205,75,189,46,,,,136,200,205,231,287,97,152,110
0050050,2,,3,187,34,222,97,96,162,45,65,56,87,120,147,124,116,255,3,1,0,,,153,240,380,251,244,14,82,78
0050051,78,57,173,200,50,243,150,218,195,84,206,87,182,130,146,207,245,97,196,125,232,510,50,171,283,268,198,200,228,226,179
0050052,,,,13,29,20,20,27,29,1,22,6,30,5,44,7,25,3,18,17,37,14,14,3,35,38,2,47,8,31,15
0050053,94,6,3,39,65,27,31,49,41,107,,50,41,31,72,49,62,56,47,84,88,29,,88,127,,353,131,4,98,107
0050054,108,,,97,68,88,76,55,132,,8,9,50,52,22,239,66,,140,57,80,40,25,77,127,191,151,,,91,88
0050056,,,2,8,2,5,,2,,5,,2,,3,8,,1,7,2,10,,8,,12,,,19,1,,40,
0050060,14,20,,12,47,55,6,46,79,3,,1,64,91,,135,28,70,29,21,41,4,33,17,31,4,27,9,35,19,35
0050061,21,3,1,8,30,23,22,7,4,2,2,,24,4,6,8,12,9,9,16,10,7,11,,26,2,3,1,24,23,
0050062,6,,,9,7,11,12,11,4,,6,,31,13,1,7,4,24,9,13,22,2,17,15,27,4,25,10,5,11,37
0050063,,,,2,,,1,1,16,1,,,5,2,5,14,,6,11,3,23,6,5,25,,,,2,,8,4
0050064,,20,4,1,10,4,,,1,1,,5,1,4,1,,,,1,2,9,,19,,6,,,,,13,13
0050065,12,2,12,1,11,4,4,2,8,9,1,22,5,2,1,2,1,24,9,10,13,15,,8,8,3,3,,,,4
0050066,,,,,,,1,,,2,1,1,,,,3,,2,1,,,,,,,,,,,,
0050067,,3,,10,,4,3,5,4,,,4,,6,4,6,,,28,28,,10,,,6,7,9,22,,12,
0050068,,2,,,,3,,,,,6,,,,2,,8,0,3,,1,,,,8,1,6,0,,5,
0050071,331,23,,165,36,,,8,191,1,,149,51,,150,15,70,165,152,48,,,,188,201,9,238,88,250,153,144
0050072,257,,,88,55,143,,50,227,2,1,149,165,48,90,116,73,140,186,12,,,2,76,102,31,99,65,72,115,
0050073,18,4,34,20,52,20,4,6,58,26,12,60,24,13,26,59,32,43,14,4,76,47,1,47,42,,141,6,29,40,25
0050074,19,,12,40,,3,35,,57,,2,48,1,22,,,32,7,,6,125,,,27,,,10,,6,,2
0050093,284,95,,195,100,103,54,133,374,35,2,83,36,117,103,128,224,166,204,94,145,76,67,143,234,99,107,197,89,161,93
0050094,50,15,11,60,5,23,21,,20,4,,,0,7,,,,,15,25,16,32,18,110,37,38,24,35,23,13,16
0050095,37,35,93,75,10,47,70,10,10,4,,,,1,,,,,76,77,197,149,181,310,4,5,8,68,83,65,48
0050096,431,304,271,675,214,362,350,353,739,464,704,614,397,642,652,972,812,453,622,607,471,"1,077",695,762,897,793,"1,125",614,849,"1,409",633
0050097,985,"1,047","1,444","1,402","1,267","1,144","1,394","2,209","1,498","1,383","1,026","1,427","1,256","1,702","1,739","1,312","1,251",635,"1,018",3,584,"1,311","1,974","1,920","1,207",22,"3,974","2,037","2,508","1,925","1,488"
0050098,293,424,187,295,178,386,107,200,250,206,91,238,289,237,279,333,252,,265,359,250,62,103,71,319,344,299,15,90,736,218
0050099,218,133,187,143,180,131,120,165,273,180,50,135,239,174,133,277,211,172,163,210,252,51,33,115,650,,281,210,204,231,971
0050103,1,2,51,721,386,644,196,131,540,632,247,439,596,663,365,655,570,198,527,356,423,181,683,857,71,,900,423,540,459,719
0050104,83,123,163,101,30,93,34,41,214,154,32,72,83,113,38,104,91,47,16,44,105,37,86,14,104,112,163,99,35,11,20
0050105,36,44,35,41,64,18,82,13,47,37,17,25,54,4,24,32,47,50,10,22,34,2,52,52,59,27,79,17,36,42,20
0050106,,0,,6,2,4,4,1,12,,,,3,,,,,,2,,10,,,,,9,,24,10,10,
0050107,1,4,,26,,4,,,,12,,,,,,,,10,,,,,,11,1,,,,11,,
0050110,"2,084","1,705","1,686",603,"1,055","1,541",949,"1,872","1,687","1,769","1,292","1,271","1,589","1,276","1,609","1,742","1,126","1,041","1,453",258,378,939,"1,159","1,500","1,445","1,278","1,238","1,858","1,327","1,453","1,578"
0050111,545,"1,463",647,538,425,533,424,613,638,686,532,813,652,379,402,294,558,356,341,545,377,334,751,555,457,116,486,699,877,615,378
0050113,158,131,103,98,74,156,59,27,90,70,59,65,20,65,76,83,37,7,2,,,2,,96,99,69,66,98,81,60,145
0050114,49,61,162,77,34,77,27,33,239,31,20,95,69,51,36,65,101,32,74,,,,2,75,69,52,103,137,101,135,31
0050118,920,,,520,479,682,271,894,955,4,90,"1,003",654,516,728,466,576,309,363,510,461,585,311,538,795,211,"1,143",746,514,642,425
