SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0050243,33,13,8,100,70,120,150,10,93,42,200,15,,6,,,,,,,,,,,,,,,,,
0050244,9,,,,1,,1,,,1,,,,1,,,,,1,17,,,6,7,,,,38,75,10,
0050245,,6,,,,1,,,1,,,,,4,,,,1,,2,,,,2,,4,0,,,,
0050247,,,,,,,,,,,,,,,,,,,,,,,,1,,,,8,,,
0050248,,2,5,,,,,,0,,,,6,,,,,,,,,,,1,,2,,,30,,
0050249,,,,1,,10,,,,4,10,,,1,,,,,,,,,,,,,,,,,
0050251,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
0050260,,2,,,,,,,2,,,,6,,,,16,,,,,,,,,,,,,,
0050262,34,10,26,19,59,15,10,20,30,25,100,11,11,24,32,6,68,2,,17,18,2,39,40,,7,20,5,12,28,
0050274,,6,,,3,,,,,1,6,,,,,,,10,,,,,20,,,,,,,,
0050275,,6,,,3,,,,,6,,,,,,,,10,,,,,,,,,,,,,
0050276,0,12,,,3,12,,,,,,,,,,6,,10,,,20,,,,,,4,11,,,
0050277,1,6,,,3,,,,,,,,,,20,,,,,,6,,,2,,,4,5,1,,
0050278,,,,,,5,10,,,,,,,,,,,,,,,,,,,,,,,,
0050279,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
0050283,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
0050285,,,,,,,,,,,,,12,,,,,,,,,,,40,,,,,,,
0050288,,,,,,,,,,,,4,3,,,,13,,,,2,,0,5,,,10,,,,
0050293,,12,,,7,,,,,,,,4,,6,,,,,,,,,,,201,,,,,
0050296,,,,10,,6,,,6,,,,4,,4,,,,,,,,,,,,,2,,,
0050302,53,29,22,4,29,34,15,11,15,4,,,,,,,,,,,,,,,,,,,,,
0050303,33,24,24,,26,13,,,,,,,,,,,,,,,,,,,,,,,,,
0050305,2,,0,1,1,1,3,1,,2,,,3,1,,,,,,,,,,,,6,,4,,,
0050312,,,,20,,45,15,,20,,,,6,10,,,,,,,,,,,,,,,,,
0050313,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
0050314,12,,,39,,25,,,20,,,21,4,,,,,,6,,,,,,,,,,,,
0050315,,,,6,,,,,,,,,4,,,,,,,,,,,,,,,,,,
0050316,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
0050320,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
0050326,,,,,,,,,,,,,3,,,,,,,,,,,,,,,6,,,
0050327,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
0050400,,,,,1,,3,2,,,2,,,1,,,1,,,,,,,,,,,,,,
