Número de artículo,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0406025,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,8
0406038,,,,1,,154,40,,,,,,,,,,10,,,,,,,497,,,,,,,
0406063,1,,4,801,,,,,,,,,,,,3,,43,,,,,,4,,,,,,,
0406084,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
0406086,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
0406087,,,,,,28,,,,,,,,,,,,20,,,,,,3,,,,,,,
0406090,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,
0406150,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
0406300,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
0430110,,,,271,,"1,783",474,150,750,205,106,"3,293",120,5,100,651,340,688,12,108,500,,,,,50,,500,"3,800","6,750",
0430210,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
0430250,,,,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,
0430260,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
0430270,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
0430275,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0430312,,,,,,200,,,,,,,,50,,,,,12,,1,,,,,48,,,456,152,
0580085,,,12,,9,,,,,,,,,,,,,,,,6,,,,,,,,,,
0580086,,,,,,,,,,,1,7,,,,,,3,-1,,8,2,,,,,,,,,
0580087,,,,,1,,,,,26,1,,,,,,,,,,,,,,,,,,,,
0580089,,,2,,,,,35,,,,1,,,,,,,,,,,,,,,,,,,
0580090,,,,,,,,,,,72,30,2,,,3,,,,4,7,2,,,,,7,,10,,
0580094,,,,,,,,26,,,,,,1,,,,,,,,,,,,,,,,,
0580095,,,,,1,,,,,,,,,,,,,4,7,,,,,,,,,,,,
0580098,,,,,1,38,,30,,1,,,,,,,,,,2,,,,,,,,,,,
0580099,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0603000,942,"1,566","2,232","3,298","2,866","4,603","2,972","7,535","3,529","1,948","7,474","1,546","4,336","5,210","4,388","3,577","2,249","7,366","7,125","5,202","2,428",505,"4,500","2,656",994,20,244,,,,
0603002,"32,066","32,714","42,825","17,541","27,588","39,620","26,930","31,159","26,710","21,278","21,613","41,000","27,661","31,753","27,662","3,613",626,,739,"2,358","5,928","12,427","2,779","5,002","6,887","4,107",194,,,,
0603004,"56,938","83,642","64,969","54,430","83,168","78,204","33,454","59,748","72,755","54,624","97,198","3,101","87,321","58,528","56,440","16,748","10,637","12,664","5,407","16,358","12,714","14,871","3,302","1,383",,,13,2,12,,
0603006,"22,791",570,"46,596","1,444","42,373","5,706","10,998","34,281","26,718","16,966","40,838","14,323","44,316","21,581","26,436","6,223","5,874","6,126","4,910","5,307","2,904","2,371","5,251","4,625","8,367","3,967","5,089","5,477","4,648","4,966",215
0603008,415,"2,080","1,091","1,899","3,378","3,920","2,150","4,524","3,941","8,203","2,621","1,264","1,185","6,400","3,083",200,777,259,"1,060",539,144,258,517,"1,726",841,"1,506","1,244",542,486,694,9
0603010,123,230,575,159,308,205,345,220,129,47,98,990,101,97,227,266,83,178,282,333,128,104,130,229,8,7,,,,,
0603110,"1,307",571,981,"1,753","1,005","5,458","2,347","2,953","1,866","1,439","1,315","3,488",455,"1,519",698,211,50,25,10,12,5,,,,,,,,,20,
0603200,"45,043","40,725","36,355","48,308","54,899","36,482","32,280","52,465","43,464","44,410","49,045","49,652","40,574","40,011","38,767","3,830","6,030","3,851","2,832","2,878","2,581","1,566","3,353","2,968","4,849","1,597","6,784","1,015","5,413",192,
0603205,"30,854","22,726","26,264","30,263","32,175","21,129","18,085","24,338","21,862","20,323","29,038","18,890","25,064","15,863","23,686","17,394","25,203","14,417","22,848","25,353","14,343","12,369","12,705",118,"3,015","16,712",,,,,
0603210,"49,726","62,299","63,984","72,459","62,181","52,580","66,200","71,514","65,532","81,781","79,983","37,355","106,974",680,"7,630","23,063","14,784","5,658","2,735","2,284","1,976","1,968","6,286","7,225","52,596","17,913",728,45,10,21,2
0603212,"32,271","22,030","20,552","34,500","21,097","35,565","20,496","28,290","25,111","29,259","23,847","34,601","42,202","45,941","2,418","10,483","2,511","2,299","1,900","1,335",367,"1,431","1,843","2,196",432,"7,639","2,018","1,149","3,584","2,418",48
0603230,"6,576","5,068","7,604","9,880","4,712","12,745","4,692","7,012","7,303","6,587","11,436","3,953","6,546","6,779","9,396",980,"2,940",387,169,511,24,11,518,252,202,4,23,27,100,40,10
0610692,,,,,,8,,,,,,,,,,,,180,,,,,,,,,,,,,
0610698,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,
0610752,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,
0610760,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0610767,96,92,68,82,,,,,,2,,,,,,22,,2,,,,,,,,,,,,,
0610768,12,22,122,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,
0610769,13,50,20,,18,34,,,,,,6,,10,,,42,"1,048",,,,,,,,,,,,,
0610770,4,2,,41,,,,,,,,12,,,,,,220,,,,,,,,,,,,,
0610771,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,
0680012,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
0680016,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,
0680018,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,
0680022,,,,,,,,,,,,2,,,,,,100,,,,,,,,,,,,,
0680032,"2,097","1,046",406,76,,29,,,,,,,,,,,,,,,,,,,,,,,,,
0680034,"5,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0680036,40,0,,511,10,,,,,,,,,,,,,71,,,,,,,,,,,,,
0680038,"2,027","1,776",421,669,716,324,,,,,,,,,,,,,,,,,,,,,,,,,
0680044,418,12,146,,,,,,,,,,,,,,,68,,,,,,,,,,,,,
0680046,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
0680050,92,48,,,,,500,220,60,230,60,12,,30,,5,,95,,,,,,,,,,,,,
0751032,,,,,1,42,85,,,,2,,,,,,,,,,,,,,,,,,,,
0760692,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,
0760694,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,
0760698,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,
0761200,68,"1,308",803,299,393,"1,091","4,139",208,"1,158",422,"1,201",1,7,13,,,,,,,,,,,,,,,,,
0761202,"2,267","1,096",619,257,203,"4,339",30,810,"2,165",19,1,,2,5,2,2,,,,,,,,,,,,,,,
0761204,651,"1,588",261,82,"3,888","2,234","1,352",952,"2,222",,1,,9,,,1,,,,,,,,,,,,,,,
0761206,"2,568",,7,1,"1,439","2,093","1,328","2,925","2,272",15,2,,,,,,,,8,36,,,,,,,,,,,
0761208,,"1,001",745,231,459,834,658,337,655,1,0,63,4,,15,,,,15,,,,,,,,,,,,
0761210,358,"1,418",975,197,177,877,175,610,292,133,191,,4,,,,,,,,,,,,,,,,,,
0761212,4,382,111,8,253,170,25,126,167,20,6,1,,6,78,,,,,,,,,,,,,,,,
0761214,6,10,7,70,,,8,14,,5,6,,16,20,10,1,,,,6,,,,6,,,,,,,
0761216,0,444,50,21,35,86,38,107,21,151,31,4,,8,169,124,100,,,,,,,,,,,,,,
0770720,,,,,,56,,,,,,,,,,,,,,,,,,77,,,,,,,
0771705,14,,,28,36,450,6,15,,,,350,,20,,,,,,,,,,"2,840",,,,,,,
0771715,,,6,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
0771725,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,
1070330,,,,,,,,,,,1,,,,1,,,,,,2,,,,,1,,,,,
1070610,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
1140060,"1,310","1,198","1,478","4,244","3,872","8,653","1,970","2,158","2,236","1,184","1,870","2,092","1,196","2,929",746,"4,828",706,"1,476","5,006","2,524",142,"1,490","3,738","2,889",124,"1,453","1,016",415,692,"1,476","1,078"
