SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
1300008,753.00,262.00,124.00,128.00,528.00,320.00,412.00,225.00,308.00,48.00,504.00,429.00,836.00,97.00,295.00,325.00,269.00,263.00,454.00,320.00,442.00,175.00,341.00,252.00,706.00,263.00,533.00,637.00,300.00,674.00,595.00
1300010,487.00,2053.00,1006.00,1552.00,18.00,356.00,286.00,279.00,393.00,779.00,1045.00,79.00,271.00,400.00,1142.00,964.00,716.00,139.00,885.00,616.00,301.00,133.00,393.00,610.00,1018.00,568.00,1161.00,912.00,691.00,482.00,1537.00
1300014,2041.00,3494.00,1499.00,658.00,2031.00,1924.00,1487.00,1776.00,2203.00,999.00,2411.00,2626.00,2316.00,1121.00,2095.00,3517.00,1029.00,1866.00,2113.00,1759.00,1836.00,947.00,1886.00,,2.00,,,1429.00,3240.00,2807.00,3207.00
1300016,6.00,117.00,469.00,139.00,,494.00,76.00,54.00,117.00,170.00,95.00,89.00,137.00,75.00,57.00,42.00,92.00,27.00,82.00,58.00,42.00,24.00,65.00,27.00,,169.00,48.00,70.00,107.00,73.00,122.00
1300020,599.00,194.00,268.00,267.00,370.00,411.00,178.00,238.00,416.00,307.00,356.00,360.00,469.00,201.00,352.00,437.00,223.00,311.00,289.00,344.00,232.00,277.00,427.00,223.00,327.00,289.00,427.00,328.00,324.00,304.00,288.00
1300028,,,,,,,,,,,166.00,86.00,223.00,96.00,94.00,115.00,123.00,89.00,63.00,73.00,92.00,117.00,97.00,18.00,395.00,112.00,127.00,341.00,65.00,196.00,184.00
1300030,592.00,773.00,328.00,84.00,321.00,550.00,2.00,300.00,661.00,307.00,710.00,596.00,428.00,495.00,383.00,499.00,362.00,506.00,351.00,194.00,523.00,285.00,465.00,76.00,979.00,510.00,779.00,536.00,732.00,717.00,663.00
1300035,,,,,,,,,,,,,,,43.00,20.00,37.00,79.00,63.00,53.00,93.00,40.00,74.00,48.00,74.00,114.00,72.00,51.00,70.00,8.00,
1300041,,,,,,,,,,,,,,,15.00,39.00,17.00,21.00,23.00,12.00,23.00,9.00,10.00,9.00,16.00,13.00,18.00,29.00,17.00,25.00,38.00
1300042,52.00,73.00,34.00,133.00,118.00,177.00,37.00,99.00,220.00,258.00,285.00,40.00,132.00,222.00,277.00,217.00,278.00,170.00,75.00,130.00,212.00,148.00,77.00,90.00,162.00,278.00,167.00,88.00,228.00,,
1300045,,,,,,,,,,,,,,,11.00,12.00,2.00,2.00,,3.00,7.00,5.00,1.00,1.00,1.00,,7.00,2.00,1.00,15.00,2.00
1300048,,,,,,,,,,,,,,,,,,,,,,,,113.00,681.00,214.00,,,,,224.00
1300049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00
1300050,114.00,568.00,417.00,192.00,257.00,422.00,90.00,277.00,691.00,234.00,475.00,708.00,508.00,8.00,310.00,588.00,375.00,402.00,187.00,309.00,291.00,271.00,209.00,,,,,805.00,515.00,,
1300052,,,,,,11.00,8.00,2.00,22.00,4.00,1.00,2.00,9.00,,2.00,1.00,8.00,5.00,11.00,34.00,2.00,3.00,,7.00,8.00,6.00,13.00,1.00,14.00,5.00,1.00
1300058,,,,,,,,29.00,38.00,16.00,28.00,30.00,37.00,3.00,31.00,81.00,9.00,25.00,21.00,18.00,26.00,15.00,37.00,8.00,50.00,45.00,20.00,55.00,2.00,,
1300060,50.00,36.00,36.00,20.00,26.00,31.00,14.00,37.00,28.00,26.00,32.00,106.00,85.00,41.00,102.00,94.00,144.00,93.00,,80.00,53.00,28.00,12.00,33.00,66.00,49.00,151.00,46.00,,,1.00
