SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
1382050,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1382060,,1,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,
1382070,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420010,,,,,,1,,,1,4,2,1,1,1,,,,,,,,,,,,,,,,,
1420015,,,,,,1,1,1,9,6,4,,,,,,,,,,,,,,,,,,,,
1420020,,,,,,,5,1,3,1,2,,1,,,,,,,,,,,,,,,,,,
1420025,,,,,1,3,2,3,3,,4,2,,,,,,,,,,,,,,,,,,,
1490016,,,,,,,,,,10,1,5,10,,,,,,5,,11,,,,3,,19,,10,10,
1490017,,,,,,,,,,22,24,53,,14,,,8,,,,6,,2,4,,,52,,10,,
1490053,,,,,,,,,,,,,,,,,,,,,3,3,6,5,11,2,1,3,,,
1490054,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,,,1,1,1
1490055,,,,,,,,,3,12,10,12,10,25,13,1,23,9,13,4,,6,6,14,12,20,11,8,16,18,3
1490100,273,165,503,307,155,"1,085",240,375,143,212,140,231,147,172,97,96,218,204,279,149,137,245,383,233,188,186,280,332,425,318,259
1490102,514,597,390,300,241,667,375,302,184,369,207,312,228,268,187,179,270,289,187,152,291,189,300,298,231,261,344,561,583,357,340
1490104,5,13,14,60,8,3,,26,32,12,9,13,14,11,5,8,14,21,10,19,11,,7,5,5,47,22,5,,14,21
1490105,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490106,71,45,33,86,118,13,40,53,20,44,27,36,32,21,30,22,18,16,15,10,15,,24,32,10,15,44,30,1,9,22
1490108,53,50,32,101,53,112,3,36,32,22,49,34,18,42,30,28,66,34,25,42,23,37,40,63,38,22,56,151,58,61,63
1490109,"1,025",204,233,228,667,725,968,"1,126",82,76,47,60,22,70,186,197,186,134,64,154,79,88,105,67,37,47,99,31,142,35,69
1490120,211,166,101,5,26,89,69,168,50,20,36,75,48,36,168,54,18,5,,5,,,,,,,,,,4,2
1490132,,,,,,,,,,,,,,,1,,1,2,,1,1,,1,,,,,,,,
1490133,,,,,,,,,,,,,,,5,,2,,1,,2,,1,,,,,,,,
1490248,4,,,,,10,,,,,1,,,,,,,,,,,,,,,,,,,,
1490249,,,,,,,,,,,,,,,,1,1,1,,,1,,3,2,3,1,2,,,,
1490251,2,,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,
1490252,2,4,,,,,,,1,,1,,,,,,,,,2,,,,1,1,1,,,,,
1490253,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490263,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490264,6,50,,,,,,,,,,,,,,,,,,6,,,1,1,6,2,,,,,
1490265,6,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1490266,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1490267,15,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,
1490510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1490514,9,16,12,138,15,10,19,41,2,20,5,7,6,8,5,3,15,10,6,2,3,1,2,4,,1,13,2,,4,1
1490518,,,,,,,2,,,,,,,,,1,,,,,1,,,,,,,,,,1
1490519,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,
1490520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1490521,,,,,,,,,,,,,,,,,,,,,,4,,,,2,2,,,,
1490524,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
1490529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1490530,3,17,3,24,2,16,1,4,,,,,,,,,,,,,,,,,,,,,,1,
1490531,2,2,20,,,,,,2,1,8,,,1,,6,2,5,3,8,,,,,,1,,1,7,,
1490553,,,,,,,3,2,,1,3,,,,,1,1,,1,,1,,,,,,,,,,
1490554,,,,,,,5,,,4,1,,,,,1,1,,,,1,,,,,,,,,,
1490555,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1490556,,4,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,
1490559,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1490560,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1490561,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1490572,14,7,7,11,9,3,9,4,11,5,6,1,12,0,,,,7,,,17,2,18,,2,,1,,,,
1490574,6,,1,1,2,1,,,,,,2,,,1,,,,,,,,,,,,,,,,
