SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0010515,,,12,12,12,6,35,18,32,22,35,,,5,32,24,130,6,32,20,8,44,2,1,,10,4,,,22,8
0010522,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
0010611,19,,9,81,14,34,4,,60,26,32,23,,6,4,27,46,26,30,1,92,19,84,104,51,,,115,21,42,101
0011359,1,"1,060",959,480,714,715,637,690,611,288,,,,,,,,,,,,,,,,,,,,,
0011676,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,5,
0011822,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
0011824,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,
0011826,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
0011828,1,,25,19,27,,,,,20,,,,,,,,,,,,,,,,,,,,,
0011830,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0011839,,,,30,,100,,,"1,700","2,970",,,,,,,,,,,,,,,,,,,,,
0011841,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,
0011843,,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,
0011845,,,320,10,,,,,,68,,,,,,,,,,,,,,,,,,,,,
0012680,,,,,,,,,,,,,,,,,,,,,,,,"1,840",,,,,,,
0013492,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
0013626,,,,,,,,10,,,,,,45,,,,,,,,,,,,,,,,,
0013643,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
0013672,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0014550,,,,,,,,,,,,,,4,24,,6,,,,,,,184,,,,,,,
0015905,,,,,,,,,,,,,,,,,,,,,,,,223,,,,,,,
0020001,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
0020008,,2,1,3,5,1,,,,1,4,24,9,,,,,,,,1,,,1,2,1,,,,,
0020009,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0020160,2,26,2,3,2,,,,256,,,,,,,,,,,,,,,,,,,,,,
0020162,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020164,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
0020166,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
0020167,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
0020170,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020172,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020174,362,93,130,36,14,55,150,47,64,36,39,52,205,230,239,272,570,160,,,,,1,,,,,,,,
0020177,12,2,1,4,,12,,55,4,,10,,,,,,,,,,,,,,,,,,,,
0020178,96,12,159,50,349,363,96,503,673,370,318,624,313,2,3,24,,32,2,,,,,,,,,,,,
0020179,11,8,7,2,1,26,6,16,74,3,21,7,"1,212",458,100,50,,32,,,,,,,,,,,,,
0020180,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020181,12,28,13,18,35,39,55,171,641,374,75,161,103,8,,,,,,,,,,2,,,,,,,
0020183,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,
0020184,17,39,41,33,17,,43,89,35,7,,16,,,,,,8,,,,,,,,,,,,,
0020186,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020188,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
0020190,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
0020191,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020202,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0020217,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
0020220,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020370,177,41,9,21,,,13,,62,12,,,,,,,,31,,,,,,20,,,,,,,
0020371,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020372,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
0020373,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
0020374,6,,4,,,,4,,,7,3,,,,,,,,,,,,,,,,,,,,
0020375,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020442,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
0020444,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
0020859,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020862,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,
0020872,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0020873,10,,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
0020874,6,2,8,,22,4,12,14,1,4,,,18,,,,,,,,,,,9,,,,,,,
0020880,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
0020881,12,1,,1,8,,2,2,5,3,,3,,,,,,,,,,,,,5,,,,,,
0020886,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0020887,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0021581,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0021583,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021584,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
0021590,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
0021671,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0021681,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
0021686,,,,,6,,,,,1,,,,,,,,,,,,,,2,,,,,,,
0021699,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021700,29,,,,0,1,,2,,11,,,,,,,,,,,,,,,,,,,,,
0021701,4,,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,
0021702,45,7,,1,1,,12,,,5,,,,,,,,,,,,,,,,,,,,,
0021703,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0021704,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0021705,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0021706,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0021707,21,1,12,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
0021849,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
0021851,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0021854,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
0021861,71,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021863,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0021864,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
0021880,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
0021894,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
0021899,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0021901,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0021909,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0021988,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,
0021996,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
0021998,,,,,,,,,,47,,,,,,,,,,,,,,6,,,,,,,
0022181,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,
0022182,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0022184,56,42,54,5,43,2,11,,21,32,18,11,247,,,,,,,,,,,,,,,,,,
0022185,2,,,7,3,,,,,,,,,,,,,,,,,4,2,,,,,,,,
0022186,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0022187,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022189,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0022191,,5,39,12,,,,,,4,,1,89,,,,,,,,,,,,,,,,,,
0022193,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
0022194,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
0022195,,,,,2,,,,,,1,,95,,,,,,,,,,,,,,,,,,
0022196,4,7,2,41,,,,,,120,,,,,,,,,,,,,,,,,,,,,
0026026,10,,,,4,5,,2,6,4,,,1,,,4,,12,4,,,,,,,,,6,6,1,
0026027,10,,10,,,,5,,3,,1,1,,,,,,,,,,,,,,,,,,,
0026030,2,10,10,13,,,,,,26,,,2,,,68,,,,,,,,6,,,,,,,
0026033,,,,,,,,,1,,15,,,,,,,,,,,,,,,,,,,,
0040256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0040528,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
0042251,,,4,,3,,,,,,,,,,,,,1,,10,,,,,,,,,,,
0042252,11,2,1,10,2,1,,,,6,,,,,,,,,,,,,,,,,,,,,
0042253,2,15,4,10,2,,,3,,,16,,,,,,,,,,,,,,,,,,,,
