SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0060103,16,48,33,47,24,50,34,4,2,100,10,12,30,106,22,18,14,32,19,8,,10,58,103,59,28,4,16,24,15,20
0060104,28,47,37,22,128,8,14,23,25,100,14,142,88,,14,32,4,32,21,35,25,36,62,38,44,66,2,,4,42,38
0060105,2,41,40,72,56,18,4,34,6,,1,,6,6,4,32,10,12,4,,4,8,,18,18,39,2,2,2,10,5
0060110,37,50,29,60,71,16,39,80,2,45,6,2,30,25,1,16,55,,29,,,3,27,4,5,40,2,42,,,
0060112,13,13,21,6,12,36,56,11,12,31,21,27,19,5,13,19,40,,15,12,25,20,27,22,25,19,14,24,8,15,11
0060113,17,58,45,25,11,13,26,22,40,37,24,20,12,36,12,10,72,13,44,9,23,23,49,39,12,24,33,42,25,23,11
0060114,12,23,21,11,10,12,7,5,20,11,5,4,9,11,37,7,39,,13,11,5,11,5,21,11,1,5,9,16,1,11
0060115,13,30,3,25,38,7,22,10,18,,10,16,1,12,6,5,56,15,10,1,15,11,11,6,11,4,3,27,24,,
0060116,5,5,22,11,25,7,22,10,5,1,3,,,12,,4,16,13,8,,1,3,2,6,1,4,16,,3,,1
0060117,,,,,,,,3,3,,,,,4,,,,,,,,,,,,,,,,,
0060118,,,,,,,,,,,,2,,1,,,,,,,,,2,,,,,,,,
0060119,,,,,,,,5,,,,,,,,,,1,,,,12,,,,,,,3,,
0060120,,14,,,,6,,,,,,,,,,,,,1,,,8,,,,1,,1,2,,
0060132,39,36,11,33,40,24,,23,25,29,31,58,18,,2,20,43,35,,36,35,5,6,32,53,40,20,10,23,23,45
0060133,0,39,4,20,9,4,5,8,1,7,17,15,8,5,,4,12,16,15,42,25,12,18,38,12,10,31,50,14,26,23
0060134,31,101,66,136,95,57,33,76,59,67,162,92,109,31,37,60,47,40,58,43,70,57,34,79,20,31,192,80,54,54,74
0060136,29,22,102,79,115,92,27,56,57,76,96,43,97,60,44,54,88,15,33,60,69,51,48,65,43,48,152,,50,41,101
0060137,1,8,36,7,54,8,1,44,41,30,52,24,57,45,21,49,83,43,57,77,58,40,31,138,24,55,126,1,21,42,84
0060138,5,,16,7,8,7,18,20,5,14,28,2,51,19,,46,8,,14,17,2,10,32,29,26,1,88,48,81,58,11
0060139,7,1,15,2,26,9,3,13,3,14,12,2,9,,18,47,,,11,16,9,9,5,25,26,12,4,27,1,3,5
0060140,,434,542,433,156,442,173,126,372,306,241,65,38,301,367,34,248,72,40,89,121,212,69,6,48,126,35,35,36,75,88
0060141,7,25,7,4,38,101,52,30,,13,56,20,6,51,18,23,70,,33,42,28,27,81,29,64,10,51,13,5,16,48
0060142,,44,41,193,88,68,184,114,30,140,48,93,44,12,32,19,,,20,4,6,13,52,4,3,63,38,,32,86,83
0060143,128,295,257,219,313,130,117,142,229,149,239,297,183,288,131,104,31,2,94,126,70,124,279,7,,149,374,53,53,116,53
0060145,13,161,52,35,8,113,95,16,64,72,17,15,37,1,54,25,33,10,1,,6,,53,12,3,28,1,6,64,20,17
0060146,12,41,124,14,40,148,24,14,12,55,21,13,62,4,23,25,17,13,25,4,6,19,5,31,15,16,23,10,39,6,28
0060150,33,,50,16,46,54,20,6,,61,7,60,23,12,15,22,46,26,60,2,45,8,85,12,16,2,60,34,,50,3
0060152,17,16,82,,39,22,57,12,219,2,,155,39,9,32,28,114,6,29,88,6,8,23,,208,52,,6,207,91,
0060160,263,208,16,5,294,,16,113,147,22,111,78,116,129,117,124,57,72,205,113,110,42,181,84,143,134,210,26,135,89,57
0060161,57,197,110,20,104,20,44,55,216,110,82,68,96,162,66,165,88,42,45,23,83,95,149,46,72,146,138,11,309,269,14
0060162,115,202,359,233,100,93,94,181,174,92,81,99,318,105,120,134,97,50,170,47,70,88,112,36,89,195,75,2,287,104,203
0060166,129,256,360,164,221,305,142,177,452,119,60,238,97,227,119,155,135,121,36,86,101,98,84,93,87,40,44,223,97,60,115
0060167,,79,82,136,63,123,151,150,65,80,76,144,76,268,241,83,82,27,73,134,63,80,125,57,14,79,220,116,64,172,211
0060168,319,23,111,182,79,97,66,109,400,153,21,154,226,57,24,137,46,49,75,112,40,34,226,27,43,70,129,91,130,261,38
0060169,118,64,55,40,100,74,54,65,107,155,45,124,72,37,13,25,6,19,13,27,18,15,116,22,25,12,52,16,27,116,44
0060190,,,,,,,,,,,,,,1,50,53,250,,10,,85,,,50,,,50,,130,2,
0060191,,,,,,,,,,,,,50,50,100,50,140,,20,,90,,,60,,,,0,140,,
