SKU,MMX_Q1,MMX_Q2,MMX_Q3,MMX_Q4,MMXVI_Q1,MMXVI_Q2,MMXVI_Q3,MMXVI_Q4,MMXVII_Q1,MMXVII_Q2,MMXVII_Q3,MMXVII_Q4,MMXVIII_Q1,MMXVIII_Q2,MMXVIII_Q3,MMXVIII_Q4,MMXIX_Q1,MMXIX_Q2,MMXIX_Q3,MMXIX_Q4,MMXX_Q1,MMXX_Q2,MMXX_Q3,MMXX_Q4,MMXXI_Q1,MMXXI_Q2,MMXXI_Q3,MMXXI_Q4,MMXXII_Q1,MMXXII_Q2,MMXXII_Q3
1770060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759.15,719.2,759.15,759.15,0
1550201,0,1065.36,0,3.57,0,939.2,0,0,14.02,146.54,262.95,83.04,0,27.68,0,0,0,0.28,0,0,0,0,0,54,16.88,6.75,56.25,0,187.5,131.25,0
1759360,70.31,121.89,52.51,187.5,140.63,100,52.5,23.44,46.89,100,168.75,175,162.49,0,23.44,79.69,103.12,332.81,53.58,241.08,32.14,0,175.01,117.85,89.29,150.01,110.73,83.93,0,0,0
241364,65.5,6.43,105.75,28.93,43.39,89.65,2228.75,76.34,51.84,36.16,36.97,80.36,0,20.89,10.05,6.03,0,0.8,34.16,63.63,6.37,0,0,0,0,0,0,0,0,0,0
200610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.15,103.66,2118.2,204.78,93.08,210.99
60340,7.72,0,192.86,3.03,463.4,63.91,288.29,75.81,77.6,40.26,113.7,112.2,186.39,217.2,176.01,28.51,57.6,60.99,11.08,68.44,40.65,18.48,16.63,126.4,92.61,107.67,0,40.18,38.57,45.89,216.86
1759780,397.77,0,42.86,0,88.4,2413.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.64,0,0,0
1390120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.82,94.11,467.51,60.89,468.94,419.06,515.54,535.58
700270,0,0,0,0,0,0,352.68,0,0,0,0,0,705.37,0,705.36,0,0,0,388.39,0,0,0,0,0,352.77,0,481.34,0,0,0,0
1628482,0,0,0,0,0,0,0,0,1492.86,0,0,1492.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30102,433.92,969.11,1552.5,16.07,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624210,0,0,0,0,0,0,427.5,0,0,0,0,0,0,0,0,1710,0,0,0,0,0,0,409.07,0,0,0,0,0,0,0,431.79
841386,1079.61,839.67,124.63,488.03,75.53,18.88,18.88,226.61,0,87.05,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
1530009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.95,138.49,67.14,440.63,62.95,390.28,940.02,0,0,122.14,745.18
1551303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.65,907.63,407.14,1348.68,101.79,0,0,0,0,0,0,33.93,0
700365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2964.29,0,0,0,0,0,0,0,0,0
1750207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528.57,0,0,0,0,0,1433.04,0,0,0,0,0
940862,257.14,42.86,2400.01,21.43,214.29,0,25.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2959.55,0
1620360,0,0,0,0,0,0,0,0,157.77,0,157.77,0,0,0,473.3,315.54,0,637.54,0,0,0,0,754.96,0,301.98,159.38,0,0,0,0,0
1701825,0,0,0,0,0,0,0,132.37,0,125.74,0,503,0,265.41,398.13,0,268.13,0,0,0,0,141.11,275.17,0,147.68,0,280.57,0,420.88,0,0
860490,0,0,0,0,0,0,133.39,0,0,333.48,0,1734.11,-1734.11,0,0,133.39,0,222.32,0,0,0,0,0,0,0,1333.92,800.36,0,0,0,0
21355,213.74,145.04,109.42,152.68,213.74,0,226.47,106.87,0,43.26,40.71,114.51,43.26,0,38.17,0,45.54,136.61,125.89,91.08,281.25,131.25,0,136.62,0,40.18,262.52,45.54,125.89,0,85.72
891030,0,0,0,0,0,0,0,0,0,0,0,0,0,168.74,0,0,45.27,0,0,972.31,441.97,176.78,88.39,441.96,618.76,0,0,0,0,0,0
1850070,19.64,39.29,19.64,58.92,155.18,98.21,0,0,216.07,98.21,186.61,212.14,352.59,137.5,0,19.64,337.06,180.81,220.99,0,80.36,0,0,120.54,20.09,20.09,0,120.54,60.27,137.63,40.18
651306,373.65,0,124.55,539.73,373.66,373.66,0,0,0,0,124.55,0,0,0,0,124.55,125.8,0,0,0,0,0,87.77,263.31,175.54,263.31,0,0,0,0,0
620035,0,0,0,0,0,0,0,0,795.63,0,753.75,0,0,0,0,0,0,0,1398.21,0,0,0,0,0,0,0,0,0,0,0,0
580072,0,522.32,0,0,0,0,0,0,1212.5,0,1212.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020350,0,0,0,0,0,79.1,158.23,98.9,79.11,115.44,38.48,19.24,57.73,269.36,115.44,173.17,116.32,77.84,155.7,38.93,136.22,155.69,155.68,116.77,154.09,165.74,91.24,136.86,198.43,22.81,20.77
20364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946.43
912996,695.54,0,0,37.5,1350,0,0,0,0,0,0,337.5,0,0,0,0,0,0,0,187.5,0,337.5,0,0,0,0,0,0,0,0,0
1530546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.07,548.46,514.52,713.05,47.01,296.95,0,589.55,0
750374,18.08,212.38,249.03,454.82,144.64,32.54,45.8,8.84,142.67,25.43,115.71,77.14,47.01,174.94,0,53.83,15.27,61.48,0,32.55,18.09,0,156.69,187.08,129.74,141.14,255.52,0,116.74,26.82,0
1759583,0,0,0,240.27,0,0,240.28,0,277.24,0,0,231.03,338.83,0,0,277.23,0,0,277.23,0,231.03,0,0,277.23,0,552.46,0,0,0,0,0
1754695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,212.5,187.5,0,388.4,427.24,0,466.07,259.83,441.96,327.37
280950,1033.39,1714.01,25.4,17.7,119.55,8.79,7.32,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70036,0,0,0,0,0,0,582.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582.47,-582.47,0,0,0,1285.72,1064.74,0,0,0
12226,97.48,8.87,0,88.61,22.15,26.6,35.46,17.73,271.26,17.73,38.41,80.76,1516.09,0,0,0,13.66,131.14,143.44,155.14,0,0,16.39,0,0,0,81.96,0,0,0,163.93
1754717,0,0,132.59,0,0,0,0,247.5,353.57,132.59,0,0,0,375.67,132.59,0,132.59,75.38,135.4,0,135.4,0,135.4,0,256.83,0,112.84,270.8,0,0,297.32
580500,0,28.12,0,0,84.37,0,33.75,67.5,946.88,218.75,131.25,0,0,87.5,0,0,419.87,0,265.18,0,397.77,154.69,0,0,0,0,0,0,88.4,0,0
932120,57.85,28.93,14.47,0,79.91,103.66,41.78,122.85,62.68,48.75,41.79,160.19,38.3,20.89,69.64,48.75,0,261.02,92.32,57.07,16.79,100.72,50.35,842.65,50.35,33.57,159.46,83.92,67.15,159.47,8.39
1759145,0,0,231.25,247.77,0,59.46,0,0,297.32,247.77,99.11,0,297.32,59.46,0,247.77,0,0,396.43,0,0,0,0,251.12,0,60.27,0,200.89,0,227.68,0
1758026,0,0,0,0,0,0,0,0,0,0,0,0,75.89,683.04,0,0,0,719.2,0,719.2,0,632.81,0,0,0,0,0,0,89.31,0,0
912993,0,0,0,0,0,0,0,772.51,0,375.01,0,0,0,450,0,0,0,0,454.82,0,0,0,0,0,0,864.29,0,0,0,0,0
610769,160.41,575.74,257.32,0,221.3,437.46,0,0,0,0,0,77.2,0,128.66,0,0,540.37,517.54,0,0,0,0,0,0,0,0,0,0,0,0,0
608079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2913.77,0,0,0
1530900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.38,109.7,31.34,126.61,52.75,52.91,264.53,322.73,63.48,58.19,185.12,95.13,126.95,721.21,54.91,229.57,197.68
1530280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2910.36
761736,614.04,421.49,49.89,0,133.49,366.27,327.79,172.81,51.42,112.29,251.91,61.72,123.43,144,36,41.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913006,128.57,514.28,128.57,257.15,0,0,257.14,0,0,514.28,228.57,385.71,0,0,0,0,0,257.14,128.57,107.14,0,0,0,0,0,0,0,0,0,0,0
910548,1171.88,0,421.88,0,140.62,562.5,0,0,0,0,0,140.63,0,468.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80445,114.02,120.72,0,0,241.44,120.72,120.72,120.72,0,0,221.32,120.73,201.2,0,100.6,100.6,221.32,362.17,301.79,0,0,0,0,0,0,120.72,241.45,0,0,75.71,0
860637,0,0,544.96,0,0,120.54,723.21,502.23,301.34,0,0,0,0,0,0,214.29,0,0,0,0,0,0,0,0,0,124.55,0,0,373.65,0,0
700208,0,0,656.25,656.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.43,0,0,0,819.64,0,0,0,0,0,0,0,0
1758555,0,0,136.61,569.2,0,0,0,0,136.61,0,118.39,0,341.52,0,0,0,0,0,234.38,0,0,0,234.38,247.77,0,371.65,371.65,0,140.4,0,0
12578,203.7,5.79,5.78,149.39,87.58,12.06,114.51,21.43,50,53.57,59.28,10.29,53.14,48.22,187.21,0,27.68,11.07,16.61,255.49,26.79,0,0,364.29,30.01,239.71,184.71,103.04,389.86,86.43,101.52
241641,0,0,0,0,259.7,451.43,0,523.6,1247.35,390.92,13.39,1.79,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22547,0,78.32,44.62,199.44,15.48,161.19,0,58.28,133.87,185.78,14.57,99.26,177.58,56.46,30.05,99.26,319.55,30.14,47.21,17.08,107.51,154.73,60.44,169.6,112.75,124.54,96.12,30.68,63.4,47.63,160.87
1780075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.38,1037.4,0,0,500.01,1000
380070,0,0,0,0,0,0,0,0,0,0,0,0,375,0,1125,0,0,0,87.95,87.95,656.25,0,0,562.5,0,0,0,0,0,0,0
651562,60.27,56.92,165.05,315.48,232.76,571.34,359.73,63.48,275.09,63.48,105.8,324.47,126.96,0,158.7,0,0,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0
1150030,0,0,0,0,0,0,2892.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500766,5.62,1339.38,0,90,5.62,19.69,91.1,38.66,22.49,8.44,56.24,2.5,0,78.75,0,13.64,5.63,0,0,5.91,5.62,168.75,0,889.68,0,5.63,0,0,33.75,2.67,0
151256,2707.68,0,164.36,0,0,0,0,0,0,0,0,16.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783250,0,69.64,0,334.28,0,153.21,0,403.92,0,0,74.29,72.43,0,0,0,222.86,154.77,0,0,255,0,0,0,0,157.5,252,283.5,0,0,111.7,341.04
784052,0,0,0,0,0,0,0,0,0,783.48,0,0,0,0,0,0,0,0,1312.49,0,0,0,0,0,0,0,0,787.5,0,0,0
783170,0,0,178.4,89.2,0,87.5,89.2,237.87,-74.33,0,0,0,267.6,0,0,267.6,0,10,180.25,0,0,94.66,0,0,78.88,283.98,283.98,94.66,356.79,118.93,237.86
1755026,0,0,0,0,0,0,0,0,429.91,0,0,763.4,0,0,0,0,0,0,763.4,0,0,827.68,0,0,0,0,97.32,0,0,0,0
13110,0,0,247.77,0,396.43,148.66,123.88,0,0,141.43,825,122.57,0,276.78,138.21,460.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190050,0,2214.29,0,664.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170288,462.28,202.02,0,136.96,270.5,0,0,267.08,65.06,68.48,68.48,68.48,0,136.96,267.09,65.06,0,0,0,195.19,68.48,0,0,130.12,0,65.06,0,340.53,0,0,0
752932,139.28,80.36,80.36,58.92,64.28,0,277.78,50.89,0,92.09,204.19,110.5,265.18,0,72.86,79.02,163.94,71.34,0,128.57,42.86,47.14,21.43,154.29,64.29,171.44,45.54,22.77,273.21,26.52,66.3
28513,120.48,83.6,37.61,92.97,0,41.02,38.29,46.48,82.04,82.04,210.75,175,287.49,46.48,333.87,0,88.22,47.44,131.15,83.73,89.3,47.44,0,0,136.74,89.3,0,125.57,131.15,142.32,83.71
550625,426.95,640.41,0,0,853.9,265.17,0,273.21,273.21,0,136.61,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700699,0,0,0,0,0,0,0,0,0,0,661.61,152.68,0,0,0,0,1357.14,542.86,0,0,0,152.68,0,0,0,0,0,0,0,0,0
1530014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.91,120.8,0,456.6,329.45,263.56,223.3,571.07,307.49,263.56,274.55,0
780208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.61,22.77,292.17,712.37,43.38,77.36,830.71,666.37,77.36
1772049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2857.14,0,0,0,0,0,0,0,0,0,0,0,0
111552,142.86,74.53,92.76,51.95,105.46,213.32,113.84,115.28,99.38,0,3.66,7.32,48.72,79.15,178.66,32.62,30.85,87.85,203.35,131.87,91.75,94.87,28.14,100.04,170.09,92.42,218.13,16.89,116.42,100.74,13.26
710185,35.36,145.45,196.87,0,38.57,366.43,642.86,38.57,64.29,70.71,244.27,0,32.14,0,64.28,115.71,240.35,71.45,64.96,64.96,155.88,0,114.52,0,42.99,42.99,0,0,0,0,0
1755977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770.09,0,0,770.09,0,0,0,0,428.57,482.14,401.79,0
1758882,0,0,0,215,0,0,0,0,0,0,0,0,299.46,0,0,138.39,0,307.14,0,153.57,19.2,310.98,0,153.57,153.57,0,471.42,157.13,157.14,314.28,0
783390,0,144.64,0,120.54,0,125.35,0,0,0,0,0,144.65,0,0,128.57,0,0,0,0,146.09,146.09,0,0,133.93,160.71,460.72,172.77,0,452.01,361.6,150.67
928505,0,0,153,0,306,0,0,2294.99,76.49,0,0,0,0,0,0,0,0,0,0,17.18,0,0,0,0,0,0,0,0,0,0,0
1755794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.17,0,522.32,0,0,0.09,0,0,0,0,652.9,0,400.45,183.5
1755423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.21,0,0,0,346.07,173.03,356.25,0,458.04,184.15,368.3,194.2,582.58,0
20513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909.02,695.74,160.56,80.27,0
1390824,43.54,0,104.47,43.58,205.1,128.19,42.73,42.73,85.8,0,0,122.58,93.96,61.29,85.8,24.51,216.71,167.38,77.27,80.84,224.52,0,156.92,223.84,116.67,94.23,0,125.02,75.34,81.74,120.54
50030,191.52,137.27,327.58,-23.81,13.39,111.12,78.13,16.1,53.34,45.28,40.68,124.07,0,6.04,0,0,0,0,80.36,134.64,40.18,28.57,112.67,160.17,0,140.71,508.92,78.35,130.58,48.88,259.82
