Cantidad,Importe
7877,254757.58
1830,254650.67
171,254615.43
3006,253735.87
2685,253700.36
3170,253480.25
1793,252174.93
10575,251592.62
1395,251470
177495,251191.07
9550,250034.41
1108,249772.11
2952,249526.47
14753,248711.65
33087,246482.5
10469,244617.53
31715,244526.37
5655,244259.8
1394,243998.96
244,243414.86
2457,243315.68
345091,243268.4
1990,242670.3
3662,242506.33
260,242355.58
14260,242352.08
30287,242026.31
123712,241906.86
2600,241811.82
12861,241733.61
9480,241545.33
2811,240135.23
944,238491.01
147160,237883.29
8473,237455.65
6473,235626.99
3506,235500.51
211,235418.2
8816,234564.99
13965,234179.88
1975,234060.88
13443,233825.47
3177,233667.49
3008,233168.19
5160,233041.81
3090,232100.76
17311,231846.04
319,230415.8
7499,230353.78
9424,229960.34
5928,229772.32
711,229087.97
3773,228502.09
6573,228251.3
14293,228005.3
24,227231.26
2459,226944.32
256,226921.96
3057,225107.81
1078,224346
2791,224279.68
480,224178.65
8502,224056.79
1114,223092.25
2763,222366.13
24650,222112.55
3126,221883.03
155,221709.44
178,221590.7
476,221457.29
3413,221446.23
1476,220386.34
3024,220158.85
6460,220034.93
2870,218700.34
71732,217368.85
1038631,217161.38
18800,217117.3
11583,217035.49
12593,217015.85
17345,216783.89
105,216521.08
91,216253.86
389,215845.96
12266,215787.08
13649,215323.99
260,214648.78
2405,213886.23
664,212782.12
70739,212466.72
96,210721.41
346,210706.64
3022,210546.09
2964,210465.05
10853,210230.89
18385,210045.8
1674,209301.85
1339,209093.8
10595,208997.48
2126,208878.43
41664,208713.19
12913,208206.68
2227,207650.76
3271,207524.5
7051,207464.94
1457,207016.09
4875,206500.37
12968,206361.89
12326,206170.97
8461,205644.07
427,205248.15
16443,204659.53
1149,204253.1
64,203959.16
487,203869.43
16625,203508.86
1933,203274.77
4446,203128.93
1810,202306.25
184,201991.24
97,201528.63
131,201430.13
7008,201264.6
4757,201072.24
72821,201039
1743,201037.59
1244,201020.26
1246,200452.07
1714,199479.83
13287,199117.66
59690,197931.66
371,197917.18
3037,197792.12
26,197704.36
1085,197582.04
643,197573.31
21,196593.79
3357,196383.63
6678,194674.27
9325,194295.88
9331,193109.56
16001,193010.47
38748,192803.74
253,192556.35
689,191985.34
490,191962.6
2297,191719.27
1199,191018.03
526,190846.83
4539,190413.95
18001,190119.38
1716,190047.3
3439,189735.04
9223,189643.77
444,188814.05
17005,188765.22
2525,188436.12
818,187966.28
1204,187614.67
2380,187256.49
28125,186427.25
1527,185505.58
2858,185091
77565,184706.87
83,184519.07
5045,184475.93
27409,184407.66
495,184399.75
35,184143.11
1301,182830.9
305,182642.11
143,182637.7
134,182626.78
61694,181326.51
69582,181100.23
11887,180520.37
93,180319.61
1000,180033.54
926,179163.18
161287,178934.5
3461,178721.67
405,178474.51
3838,177682.62
11693,177455.27
3910,177230.1
351,176763.96
12883,176434.63
16,176308.52
3815,176181.84
639,176177.11
349,176125.41
25056,175666.08
432056,175174.04
1512,174889.79
2812,174631.38
47,174505.93
45317,174270.06
35802,174260.86
1706,174207.49
1371,173919.68
557,173882.53
103,173840.2
1091,173112.43
128,173073.23
29,172983.9
72334,171782.45
3451,171459.23
2930,171373.19
480,171353.09
455,171274.37
3570,171125.11
6475,170928.31
153437,170808.86
54,170720.16
