Compras,Ventas
2.00,3.00
21.00,24.00
1.00,1.00
3.00,3.00
59.00,51.00
88.00,84.00
36.00,31.00
12.00,12.00
2.00,2.00
1336.00,1366.00
3592.00,3471.00
106.00,45.00
27.00,27.00
27.00,27.00
3.00,3.00
6.00,5.00
1.00,1.00
107.00,47.00
202.00,195.00
7.00,4.00
2.00,1.00
1.00,0.00
38.00,30.00
1.00,1.00
22.00,16.00
8.00,8.00
11.00,11.00
1.00,1.00
1.00,1.00
3.00,3.00
1.00,1.00
1.00,1.00
2.00,1.00
1.00,1.00
2.00,1.00
12.00,7.00
17.00,16.00
37.00,37.00
22.00,22.00
310.00,313.00
98.00,87.00
600.00,535.00
45.00,42.00
172.00,168.00
7991.00,7884.00
133.00,276.00
164.00,158.00
215.00,213.00
474.00,491.00
100.00,100.00
641.00,641.00
514.00,516.00
362.00,357.00
834.00,783.00
216.00,253.00
388.00,321.00
217.00,217.00
1166.00,1160.00
4569.00,4501.00
4.00,4.00
165.00,143.00
200.00,178.00
288.00,253.00
141.00,150.00
650.00,671.00
5.00,7.00
681.00,701.00
16.00,11.00
4.00,2.00
11.00,12.00
440.00,447.00
440.00,401.00
104.00,88.00
20.00,13.00
3.00,1.00
13.00,12.00
579.00,540.00
149.00,141.00
171.00,171.00
896.00,838.00
122.00,130.00
17.00,16.00
11.00,10.00
4.00,4.00
25.00,22.00
28.00,29.00
4.00,4.00
4.00,2.00
2.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
1.00,1.00
3.00,1.00
2.00,1.00
9.00,3.00
8.00,2.00
2.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
11.00,6.00
2.00,1.00
4.00,1.00
4.00,1.00
2.00,1.00
4.00,1.00
4.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
5.00,1.00
6.00,2.00
7.00,2.00
3.00,2.00
2.00,1.00
6.00,1.00
6.00,2.00
5.00,2.00
8.00,4.00
3.00,1.00
4.00,2.00
4.00,2.00
2.00,1.00
6.00,2.00
7.00,2.00
7.00,3.00
6.00,2.00
3.00,0.00
5.00,1.00
4.00,1.00
4.00,2.00
5.00,2.00
6.00,2.00
6.00,2.00
3.00,1.00
5.00,2.00
3.00,1.00
6.00,3.00
2.00,1.00
11.00,5.00
2.00,1.00
2.00,1.00
5.00,2.00
5.00,2.00
3.00,1.00
6.00,3.00
4.00,2.00
5.00,3.00
3.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
3.00,2.00
2.00,1.00
5.00,2.00
5.00,2.00
2.00,1.00
2.00,1.00
3.00,1.00
3.00,1.00
10.00,6.00
2.00,1.00
2.00,2.00
4.00,2.00
3.00,2.00
16.00,9.00
8.00,4.00
3.00,1.00
4.00,2.00
4.00,2.00
5.00,2.00
7.00,3.00
3.00,1.00
3.00,1.00
3.00,2.00
3.00,1.00
6.00,1.00
6.00,1.00
2.00,1.00
2.00,1.00
4.00,3.00
9.00,5.00
2.00,1.00
2.00,1.00
1.00,1.00
2.00,1.00
2.00,1.00
6.00,2.00
4.00,1.00
5.00,2.00
4.00,1.00
11.00,4.00
23.00,12.00
3.00,1.00
4.00,2.00
4.00,2.00
4.00,1.00
2.00,0.00
2.00,1.00
4.00,2.00
4.00,3.00
5.00,2.00
2.00,1.00
2.00,1.00
2.00,1.00
31.00,25.00
8.00,5.00
11.00,11.00
5.00,3.00
11.00,7.00
5.00,3.00
4.00,2.00
2.00,1.00
3.00,2.00
18.00,8.00
7.00,4.00
4.00,1.00
4.00,2.00
2.00,1.00
2.00,1.00
4.00,1.00
8.00,4.00
3.00,1.00
9.00,5.00
2.00,1.00
2.00,1.00
2.00,1.00
2.00,1.00
4.00,1.00
3.00,1.00
2.00,1.00
8.00,2.00
10.00,6.00
6.00,6.00
2.00,1.00
6.00,4.00
2.00,1.00
10.00,7.00
6.00,3.00
12.00,6.00
5.00,4.00
6.00,6.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
5.00,2.00
3.00,1.00
3.00,1.00
6.00,3.00
4.00,3.00
2.00,2.00
15.00,8.00
3.00,2.00
5.00,3.00
4.00,2.00
2.00,1.00
5.00,5.00
3.00,2.00
4.00,2.00
3.00,2.00
4.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
6.00,4.00
8.00,1.00
12.00,7.00
15.00,9.00
2.00,1.00
5.00,4.00
2.00,1.00
2.00,1.00
21.00,17.00
40.00,26.00
2.00,1.00
5.00,3.00
8.00,4.00
4.00,3.00
4.00,2.00
4.00,2.00
6.00,3.00
140.00,116.00
3.00,1.00
2.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
1.00,1.00
2.00,1.00
5.00,1.00
11.00,7.00
4.00,3.00
3.00,3.00
16.00,13.00
3.00,2.00
14.00,10.00
4.00,1.00
3.00,1.00
3.00,2.00
5.00,1.00
2.00,2.00
2.00,1.00
2.00,1.00
2.00,1.00
20.00,12.00
6.00,4.00
3.00,2.00
5.00,1.00
4.00,2.00
4.00,3.00
2.00,1.00
7.00,4.00
3.00,1.00
3.00,2.00
4.00,2.00
6.00,1.00
6.00,4.00
4.00,2.00
3.00,2.00
12.00,6.00
6.00,5.00
20.00,15.00
4.00,2.00
6.00,3.00
4.00,2.00
11.00,8.00
2.00,1.00
5.00,3.00
5.00,4.00
5.00,3.00
2.00,1.00
10.00,6.00
4.00,2.00
30.00,5.00
38.00,24.00
6.00,2.00
10.00,8.00
11.00,7.00
6.00,5.00
6.00,2.00
13.00,8.00
13.00,9.00
12.00,3.00
36.00,23.00
20.00,2.00
21.00,4.00
10.00,3.00
21.00,17.00
289.00,265.00
227.00,208.00
25.00,20.00
24.00,19.00
65.00,41.00
4.00,3.00
25.00,25.00
34.00,30.00
39.00,37.00
14.00,6.00
121.00,106.00
10.00,1.00
18.00,13.00
10.00,4.00
10.00,2.00
15.00,11.00
6.00,1.00
5.00,3.00
6.00,3.00
3.00,1.00
6.00,4.00
20.00,20.00
7.00,4.00
2.00,1.00
6.00,2.00
19.00,12.00
5.00,4.00
3.00,3.00
12.00,9.00
14.00,12.00
53.00,47.00
16.00,15.00
310.00,264.00
12.00,10.00
6.00,2.00
8.00,1.00
8.00,8.00
5.00,3.00
173.00,162.00
87.00,77.00
9.00,4.00
115.00,94.00
7.00,5.00
6.00,3.00
9.00,8.00
9.00,8.00
38.00,32.00
188.00,178.00
18.00,12.00
48.00,33.00
11.00,7.00
26.00,26.00
12.00,11.00
19.00,11.00
36.00,30.00
77.00,63.00
39.00,39.00
6.00,3.00
23.00,20.00
7.00,1.00
25.00,20.00
4.00,2.00
6.00,3.00
2.00,2.00
18.00,15.00
5.00,1.00
3.00,1.00
21.00,2.00
20.00,7.00
289.00,256.00
18.00,3.00
13.00,4.00
10.00,2.00
11.00,5.00
19.00,2.00
5.00,2.00
5.00,2.00
3.00,2.00
8.00,6.00
248.00,248.00
50.00,40.00
10.00,2.00
33.00,28.00
189.00,189.00
15.00,12.00
185.00,177.00
31.00,13.00
10.00,1.00
13.00,1.00
6.00,4.00
9.00,5.00
163.00,144.00
203.00,175.00
352.00,293.00
37.00,30.00
12.00,8.00
28.00,19.00
13.00,12.00
19.00,12.00
36.00,26.00
12.00,5.00
12.00,4.00
45.00,33.00
17.00,13.00
14.00,2.00
28.00,17.00
5.00,3.00
12.00,8.00
31.00,17.00
27.00,21.00
23.00,18.00
20.00,14.00
15.00,7.00
15.00,11.00
15.00,4.00
20.00,18.00
18.00,11.00
16.00,7.00
10.00,1.00
58.00,50.00
19.00,11.00
10.00,9.00
7.00,5.00
8.00,6.00
8.00,6.00
5.00,2.00
12.00,8.00
25.00,20.00
12.00,7.00
24.00,22.00
12.00,1.00
7.00,3.00
27.00,21.00
7.00,3.00
13.00,3.00
266.00,209.00
13.00,3.00
19.00,7.00
20.00,6.00
7.00,5.00
7.00,5.00
124.00,107.00
7.00,7.00
6.00,2.00
8.00,5.00
12.00,1.00
6.00,1.00
20.00,14.00
5.00,1.00
10.00,1.00
13.00,6.00
12.00,1.00
12.00,4.00
12.00,4.00
22.00,16.00
12.00,4.00
6.00,1.00
6.00,1.00
5.00,3.00
3.00,1.00
5.00,1.00
4.00,3.00
8.00,4.00
16.00,14.00
6.00,1.00
13.00,4.00
7.00,4.00
8.00,4.00
6.00,3.00
6.00,1.00
14.00,14.00
17.00,13.00
7.00,3.00
12.00,3.00
12.00,4.00
79.00,60.00
15.00,11.00
7.00,3.00
26.00,24.00
20.00,14.00
12.00,2.00
13.00,7.00
10.00,8.00
20.00,16.00
17.00,13.00
6.00,5.00
8.00,7.00
12.00,3.00
7.00,1.00
6.00,1.00
6.00,3.00
7.00,5.00
5.00,3.00
5.00,2.00
12.00,5.00
5.00,1.00
6.00,3.00
10.00,10.00
15.00,10.00
4.00,3.00
321.00,280.00
22.00,15.00
26.00,25.00
24.00,21.00
14.00,11.00
5.00,3.00
2.00,1.00
16.00,12.00
39.00,34.00
3.00,1.00
68.00,62.00
41.00,33.00
43.00,41.00
56.00,41.00
34.00,29.00
262.00,204.00
7.00,5.00
13.00,9.00
8.00,8.00
3.00,3.00
17.00,9.00
6.00,3.00
6.00,1.00
3.00,1.00
7.00,2.00
28.00,20.00
73.00,56.00
3.00,2.00
4.00,3.00
4.00,3.00
2.00,1.00
2.00,1.00
6.00,1.00
14.00,12.00
12.00,9.00
17.00,13.00
12.00,9.00
12.00,12.00
7.00,6.00
12.00,10.00
5.00,3.00
4.00,1.00
4.00,1.00
4.00,1.00
8.00,7.00
4.00,3.00
67.00,55.00
20.00,13.00
47.00,36.00
33.00,22.00
4.00,1.00
68.00,53.00
14.00,8.00
4.00,2.00
7.00,1.00
95.00,85.00
4.00,2.00
3.00,2.00
8.00,6.00
4.00,1.00
5.00,2.00
11.00,7.00
9.00,7.00
6.00,4.00
5.00,4.00
504.00,472.00
4.00,3.00
41.00,39.00
20.00,14.00
6.00,5.00
4.00,1.00
7.00,2.00
10.00,6.00
3.00,1.00
13.00,9.00
13.00,10.00
11.00,10.00
20.00,15.00
8.00,4.00
13.00,9.00
36.00,32.00
15.00,10.00
2.00,1.00
16.00,14.00
24.00,19.00
4.00,1.00
9.00,5.00
6.00,4.00
4.00,1.00
4.00,1.00
5.00,1.00
15.00,10.00
8.00,1.00
10.00,6.00
4.00,3.00
8.00,4.00
4.00,2.00
7.00,7.00
3.00,1.00
11.00,10.00
2.00,1.00
20.00,12.00
5.00,4.00
321.00,311.00
8.00,3.00
3.00,3.00
22.00,18.00
2.00,1.00
8.00,3.00
9.00,4.00
6.00,1.00
57.00,57.00
42.00,37.00
10.00,7.00
31.00,28.00
8.00,4.00
2.00,1.00
25.00,18.00
18.00,16.00
6.00,4.00
27.00,24.00
22.00,17.00
28.00,24.00
38.00,35.00
3.00,1.00
130.00,120.00
9.00,5.00
3.00,1.00
14.00,13.00
14.00,10.00
15.00,11.00
7.00,4.00
5.00,2.00
7.00,4.00
5.00,2.00
34.00,29.00
12.00,9.00
37.00,31.00
7.00,5.00
6.00,3.00
6.00,2.00
14.00,6.00
6.00,2.00
25.00,13.00
38.00,30.00
9.00,5.00
4.00,2.00
6.00,2.00
6.00,4.00
254.00,230.00
146.00,129.00
39.00,34.00
219.00,181.00
28.00,28.00
87.00,86.00
5.00,3.00
4.00,3.00
5.00,3.00
16.00,12.00
7.00,4.00
11.00,8.00
44.00,14.00
9.00,6.00
4.00,1.00
4.00,2.00
11.00,10.00
22.00,16.00
15.00,12.00
40.00,24.00
32.00,27.00
13.00,10.00
14.00,9.00
11.00,8.00
26.00,21.00
4.00,1.00
7.00,5.00
11.00,5.00
8.00,5.00
8.00,7.00
4.00,3.00
67.00,67.00
7.00,6.00
12.00,10.00
4.00,1.00
12.00,10.00
2.00,1.00
13.00,7.00
4.00,2.00
5.00,1.00
5.00,1.00
6.00,2.00
2.00,1.00
100.00,1.00
8.00,5.00
15.00,9.00
11.00,8.00
11.00,10.00
15.00,3.00
10.00,7.00
13.00,9.00
3.00,1.00
3.00,1.00
5.00,5.00
7.00,4.00
15.00,12.00
20.00,17.00
5.00,2.00
9.00,6.00
3.00,1.00
8.00,4.00
8.00,8.00
5.00,2.00
10.00,7.00
12.00,9.00
5.00,2.00
4.00,1.00
27.00,22.00
4.00,1.00
3.00,1.00
3.00,1.00
5.00,2.00
6.00,3.00
4.00,4.00
4.00,2.00
9.00,6.00
4.00,2.00
17.00,16.00
6.00,5.00
18.00,10.00
3.00,1.00
6.00,3.00
7.00,3.00
8.00,5.00
3.00,1.00
8.00,7.00
6.00,5.00
13.00,10.00
32.00,27.00
47.00,38.00
11.00,9.00
20.00,16.00
29.00,27.00
29.00,26.00
3.00,3.00
26.00,21.00
7.00,6.00
7.00,6.00
3.00,1.00
3.00,1.00
3.00,1.00
8.00,7.00
5.00,4.00
1.00,1.00
1.00,1.00
14.00,10.00
10.00,6.00
18.00,10.00
8.00,6.00
9.00,5.00
3.00,1.00
11.00,6.00
4.00,3.00
4.00,3.00
3.00,1.00
8.00,6.00
10.00,6.00
5.00,2.00
5.00,2.00
5.00,3.00
5.00,2.00
5.00,1.00
5.00,1.00
9.00,6.00
16.00,11.00
7.00,5.00
2.00,2.00
63.00,35.00
9.00,3.00
5.00,2.00
53.00,53.00
8.00,5.00
3.00,2.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
3.00,1.00
6.00,3.00
5.00,3.00
3.00,1.00
2.00,1.00
5.00,4.00
8.00,6.00
1.00,1.00
14.00,9.00
15.00,14.00
15.00,12.00
10.00,7.00
9.00,7.00
61.00,54.00
18.00,13.00
373.00,369.00
48.00,28.00
11.00,6.00
11.00,8.00
18.00,11.00
32.00,25.00
11.00,6.00
16.00,10.00
3.00,1.00
4.00,1.00
10.00,6.00
38.00,27.00
3.00,2.00
3.00,2.00
7.00,5.00
24.00,22.00
10.00,6.00
29.00,14.00
10.00,5.00
23.00,17.00
23.00,17.00
8.00,3.00
2.00,1.00
7.00,5.00
5.00,1.00
4.00,1.00
7.00,4.00
37.00,28.00
4.00,2.00
44.00,35.00
4.00,2.00
4.00,1.00
3.00,1.00
2.00,1.00
80.00,63.00
1.00,1.00
4.00,2.00
2.00,1.00
3.00,2.00
37.00,35.00
46.00,25.00
1.00,1.00
14.00,7.00
21.00,16.00
1.00,1.00
4.00,2.00
6.00,3.00
5.00,3.00
4.00,2.00
13.00,12.00
6.00,2.00
8.00,8.00
10.00,1.00
7.00,4.00
20.00,18.00
22.00,17.00
4.00,1.00
4.00,1.00
5.00,4.00
9.00,6.00
9.00,8.00
23.00,15.00
36.00,23.00
12.00,10.00
3.00,3.00
7.00,5.00
8.00,6.00
3.00,1.00
3.00,1.00
31.00,26.00
5.00,3.00
11.00,8.00
14.00,10.00
3.00,2.00
20.00,16.00
24.00,20.00
34.00,30.00
29.00,25.00
35.00,31.00
7.00,4.00
28.00,23.00
31.00,27.00
29.00,25.00
24.00,20.00
5.00,3.00
14.00,12.00
16.00,15.00
13.00,7.00
3.00,1.00
34.00,22.00
18.00,12.00
18.00,10.00
2.00,1.00
3.00,2.00
8.00,3.00
11.00,6.00
58.00,52.00
64.00,52.00
2.00,1.00
8.00,4.00
6.00,4.00
36.00,30.00
4.00,4.00
8.00,3.00
4.00,4.00
31.00,20.00
16.00,13.00
24.00,17.00
74.00,62.00
22.00,16.00
13.00,8.00
24.00,8.00
5.00,2.00
7.00,5.00
11.00,6.00
5.00,4.00
4.00,1.00
9.00,5.00
4.00,2.00
41.00,31.00
25.00,20.00
3.00,1.00
3.00,2.00
13.00,9.00
2.00,1.00
8.00,5.00
9.00,6.00
10.00,7.00
14.00,9.00
45.00,40.00
192.00,153.00
8.00,5.00
18.00,13.00
3.00,2.00
6.00,2.00
4.00,2.00
4.00,2.00
20.00,12.00
8.00,7.00
8.00,6.00
13.00,11.00
3.00,1.00
5.00,3.00
13.00,7.00
46.00,31.00
40.00,35.00
5.00,4.00
130.00,109.00
24.00,6.00
28.00,18.00
2.00,1.00
5.00,3.00
4.00,2.00
8.00,3.00
7.00,4.00
3.00,2.00
8.00,5.00
3.00,2.00
3.00,1.00
3.00,1.00
21.00,12.00
10.00,6.00
6.00,1.00
37.00,27.00
5.00,1.00
9.00,8.00
2.00,1.00
2.00,1.00
3.00,1.00
3.00,1.00
5.00,2.00
3.00,1.00
7.00,5.00
7.00,5.00
6.00,3.00
7.00,5.00
3.00,1.00
9.00,8.00
3.00,2.00
7.00,4.00
89.00,68.00
28.00,20.00
26.00,21.00
68.00,55.00
3.00,1.00
3.00,1.00
6.00,2.00
3.00,1.00
3.00,1.00
50.00,38.00
5.00,2.00
11.00,8.00
9.00,6.00
9.00,5.00
8.00,4.00
4.00,2.00
3.00,1.00
13.00,9.00
3.00,2.00
6.00,4.00
8.00,5.00
8.00,5.00
9.00,6.00
12.00,8.00
14.00,10.00
7.00,6.00
13.00,9.00
18.00,11.00
13.00,9.00
21.00,10.00
21.00,14.00
21.00,10.00
25.00,14.00
19.00,10.00
11.00,7.00
9.00,7.00
11.00,8.00
25.00,6.00
25.00,8.00
25.00,6.00
14.00,4.00
6.00,3.00
3.00,3.00
4.00,2.00
4.00,2.00
4.00,4.00
7.00,5.00
28.00,21.00
1.00,1.00
16.00,5.00
17.00,10.00
3.00,1.00
23.00,14.00
2.00,1.00
6.00,4.00
14.00,9.00
11.00,10.00
10.00,7.00
4.00,2.00
8.00,5.00
5.00,3.00
9.00,6.00
6.00,2.00
5.00,3.00
9.00,6.00
8.00,6.00
16.00,11.00
5.00,4.00
13.00,9.00
21.00,13.00
5.00,3.00
11.00,6.00
5.00,3.00
8.00,4.00
10.00,2.00
7.00,5.00
5.00,3.00
15.00,5.00
4.00,4.00
8.00,6.00
5.00,3.00
2.00,1.00
5.00,2.00
3.00,1.00
3.00,1.00
54.00,42.00
5.00,3.00
30.00,24.00
19.00,15.00
22.00,11.00
7.00,4.00
3.00,2.00
5.00,2.00
3.00,1.00
5.00,5.00
16.00,12.00
3.00,1.00
4.00,2.00
5.00,3.00
3.00,1.00
4.00,2.00
3.00,1.00
3.00,1.00
20.00,13.00
11.00,7.00
10.00,6.00
3.00,1.00
37.00,33.00
25.00,21.00
1.00,1.00
6.00,6.00
5.00,1.00
2.00,1.00
3.00,1.00
4.00,2.00
12.00,7.00
5.00,3.00
4.00,2.00
17.00,5.00
5.00,1.00
8.00,3.00
3.00,1.00
25.00,23.00
